Claim Number,City Code,City,Enterprise Type,Claim Type,Claim Site,Product Insured
89OURU4EUV,IDR,Indore,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
1XRF05N9QA,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
G34EA2T42D,MAA,Chennai,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
UMAO11JJUG,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Engineering Tools
RI9QI1DQRR,VSK,Visakhapatnam,Public Limited Company,Property Loss,In Transit,Furniture
WXHRC8M36Q,BLR,Bangalore,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
6ZQK63UWD0,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
NV06N47FQN,PNQ,Pune,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
L55G8CSUB4,HYD,Hyderabad,One Person Company,Property Loss,Warehouse,Furniture
O0U3C2J2QT,BOM,Mumbai,Partnership Firm,Property Loss,In Transit,Misc. Electrical Equipment
RN77IVG7ES,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
VPHH0VCZ5S,BHO,Bhopal,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
J42MOKTTGS,BDQ,Vadodara,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
ZT4P53QAEE,BLR,Bangalore,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
B5INLUQWO4,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Finished Goods
JM9FD5XDJ7,KNU,Kanpur,Sole Proprietorship,Property Loss,Warehouse,Misc. Sensors
5C74TVII2V,VSK,Visakhapatnam,Partnership Firm,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
36P37AOGHC,JAI,Jaipur,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
0KSVCJTQYC,NGP,Nagpur,One Person Company,Property Loss,Warehouse,Misc. Electrical Equipment
U5O3WQLLN3,BOM,Mumbai,Sole Proprietorship,Property Loss,Warehouse,Misc. Lab Equipment
C97HD91VON,AMD,Ahmedabad,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
MB18NHNTUJ,HYD,Hyderabad,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
R87UE8T8BR,PAT,Patna,One Person Company,Property Damage,In Transit,Misc. Electronic Items
MO93LYA3Q3,BOM,Mumbai,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
7EA77XDE5M,IDR,Indore,Sole Proprietorship,Property Damage,Other,Inventory - Finished Goods
1ILZUW4HDG,AMD,Ahmedabad,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
K4OY3SS9OI,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Raw Material
LZLPKFJI3K,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
0XOT2O5ZZL,PNQ,Pune,Sole Proprietorship,Property Loss,Warehouse,Misc. Electrical Equipment
JXXDAGE26Z,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
4APUZS5CDK,NGP,Nagpur,Cooperative Society,Property Loss,In Transit,Misc. Engineering Tools
2S4MYO1W6O,JAI,Jaipur,Joint-Venture Company,Property Damage,Warehouse,Pumps and Motors
KFZL6J0OD4,BOM,Mumbai,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
VR32U6DNQT,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
7W4UAW5ZZB,AGR,Agra,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
MA9A5ZA3C1,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
FVKRZ0FWOZ,THN,Thane,Joint-Venture Company,Property Loss,In Transit,"Property, Plant, and Equipment (PPE) Parts"
HI5CM4JQ6S,BHO,Bhopal,Cooperative Society,Property Damage,Warehouse,Misc. Engineering Tools
O71UYOVLY6,BLR,Bangalore,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
H5L4LW7B7Q,THN,Thane,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
J9PFU54KIB,PAT,Patna,One Person Company,Property Damage,In Transit,Misc. Electronic Items
5VQZZASIVE,BHO,Bhopal,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
SB5F0ZA74G,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
FLGBREIFCO,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Fixtures
V8LEPWTICL,BLR,Bangalore,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
Y5S0FYEO8B,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Furniture
H9WC45OK1L,VSK,Visakhapatnam,Private Limited Company,Property Damage,In Transit,Furniture
Y166VM7KA7,STV,Surat,One Person Company,Property Damage,In Transit,Misc. Electronic Items
SDMUPW2DRM,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Engineering Tools
TJUO0ZHX7C,KNU,Kanpur,Private Ltd. MSME - Medium,Property Loss,In Transit,Inventory - Raw Material
QFMYHPWEZR,VSK,Visakhapatnam,Private Limited Company,Property Loss,In Transit,Furniture
WXQ50VXDYE,AGR,Agra,One Person Company,Property Damage,In Transit,Misc. Electronic Items
HL9WPI4T6I,HYD,Hyderabad,Sole Proprietorship,Property Damage,Warehouse,Furniture
EB757CV6XW,CCU,Kolkata,Limited Liability Parterneship (LLP),Property Loss,In Transit,Misc. Engineering Tools
Q1R1ISA939,LKO,Lucknow,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
CAJO8GJY8T,JAI,Jaipur,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
F0QEEX8RK9,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
3BC0EME2VQ,VSK,Visakhapatnam,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
6PFRXUXPR1,THN,Thane,One Person Company,Property Loss,Warehouse,Misc. Sensors
59ZU6OOWWU,BOM,Mumbai,One Person Company,Property Loss,In Transit,Inventory - Raw Material
9K0LVKOVOV,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
3OFWJSHPZU,PNQ,Pune,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
XOTAB71GEL,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
1RIZFFJVL1,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Finished Goods
57UT0I120R,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
S96PFYA6EG,STV,Surat,Limited Liability Parterneship (LLP),Property Damage,Warehouse,Misc. Electronic Items
Q6T4P87DM7,BOM,Mumbai,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
H0X7DERVF1,BLR,Bangalore,Foreign Subsidary,Property Damage,In Transit,Misc. Electronic Items
AXGFTYRATU,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Lab Equipment
FZY25JD80R,ATQ,Amritsar,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
DOH6IRNBES,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
GEVK0O0V3R,MAA,Chennai,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
KX57X3S5WP,BLR,Bangalore,Cooperative Society,Property Loss,In Transit,Cameras and other Misc. Security Equipment
VR0M1SLBDF,PAT,Patna,One Person Company,Property Loss,Warehouse,Misc. Lab Equipment
LMAWW83GBM,PNQ,Pune,Private Ltd. MSME - Small,Property Loss,In Transit,Misc. Electrical Equipment
HXS21XIG7N,DEL,Delhi,One Person Company,Property Damage,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
EPIZJMDSXG,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Fixtures
G3T4AXFMB1,CCU,Kolkata,Private Limited Company,Property Loss,Other,Cameras and other Misc. Security Equipment
WJ9TXNF6F4,DEL,Delhi,One Person Company,Property Loss,In Transit,Furniture
S19F1IDD3J,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
7AGBR13XGR,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
JNUBEK7EC3,BHO,Bhopal,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
LW51DI6Q6I,CCU,Kolkata,Private Limited Company,Property Damage,Warehouse,Pumps and Motors
SSUQLAI2ER,AGR,Agra,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
JJV6SUZVGD,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Fixtures
QON71QU1UE,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Finished Goods
PGC52BZATI,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,Misc. Engineering Tools
SUBJDNEM14,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
1SKQTDRZRG,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
L49WLY3JSL,BHO,Bhopal,Private Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
97N5SENSR7,THN,Thane,Private Ltd. MSME - Small,Property Damage,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
87M5HFW0UG,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
9XINVHGC9Y,ATQ,Amritsar,One Person Company,Property Loss,In Transit,Inventory - Raw Material
YBKTDZZAUW,AGR,Agra,Partnership Firm,Property Damage,Warehouse,Furniture
U8444AU288,KNU,Kanpur,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
F7YJVZOVFI,HYD,Hyderabad,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
6MUTBP3E38,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
3H53I9043A,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
QMWXHC6AED,THN,Thane,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
BPA6WAI7FT,AGR,Agra,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
RMZ20SW1JT,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Inventory - Finished Goods
NO7OOFNUH5,LKO,Lucknow,Private Ltd. MSME - Small,Property Loss,In Transit,"Property, Plant, and Equipment (PPE) Parts"
QK91GNTPSB,CCU,Kolkata,Limited Liability Parterneship (LLP),Property Loss,In Transit,Furniture
IAIOV9Z1O2,BHO,Bhopal,Private Ltd. MSME - Medium,Property Damage,In Transit,Inventory - Finished Goods
AX9QBLXLEX,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
OMF43XN66U,HYD,Hyderabad,Private Limited Company,Property Loss,In Transit,Cameras and other Misc. Security Equipment
6D72Z0HCMU,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
KA1WJLPA61,BDQ,Vadodara,Sole Proprietorship,Property Damage,In Transit,Misc. Engineering Tools
P1GEHKX9SU,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
5OHP2ZO9E7,LKO,Lucknow,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
HOJXQISQLV,DEL,Delhi,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
DV94M45XW6,PNQ,Pune,Partnership Firm,Property Damage,Warehouse,Furniture
KW4VC2968B,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Misc. Lab Equipment
UIU6KJBC1K,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
Z45GBOTKTA,HYD,Hyderabad,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
L9X83BM4U7,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Finished Goods
2I4WRQHUZ4,CCU,Kolkata,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
SZ8PEPQN8O,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,In Transit,Pumps and Motors
F7F7GJVZCX,AGR,Agra,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
SZ8MRQUSVQ,JAI,Jaipur,Cooperative Society,Property Damage,In Transit,Misc. Electronic Items
Z8VTD14EG3,MAA,Chennai,Public Limited Company,Property Loss,In Transit,Furniture
9YZBT4SY0B,DEL,Delhi,One Person Company,Property Damage,Warehouse,Misc. Sensors
HFHMZQ8746,JAI,Jaipur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
JWPS0CGM1V,CJB,Coimbatore,Private Ltd. MSME - Medium,Property Damage,In Transit,Misc. Electronic Items
1V56IBUX7B,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Raw Material
3Z0N9UY2SS,CJB,Coimbatore,One Person Company,Property Loss,In Transit,Inventory - Raw Material
582O42RKTF,LKO,Lucknow,Partnership Firm,Property Loss,In Transit,Fixtures
16V6EY8ACN,BDQ,Vadodara,Limited Liability Parterneship (LLP),Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
0TK0ODMOY7,VSK,Visakhapatnam,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
QL7IOPWBID,VSK,Visakhapatnam,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
SFO7K0UZN1,DEL,Delhi,One Person Company,Property Loss,In Transit,Pumps and Motors
CRJRKH9IWT,KNU,Kanpur,Private Limited Company,Property Loss,In Transit,Misc. Sensors
6R5NWQZ8OT,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
04T38ZNWW6,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Fixtures
AYDHUV8R4X,LKO,Lucknow,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
MBHOIO3ER4,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
0KMM4B3KS1,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
ZUUDES99QB,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,"Property, Plant, and Equipment (PPE) Parts"
WYGFU2AARZ,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
XJPE6B8BRN,BOM,Mumbai,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
0ZRGHHJCB8,NGP,Nagpur,Private Limited Company,Property Loss,In Transit,Furniture
LQ34J0S3RG,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
KHKJQP82TD,PNQ,Pune,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
5228U66PZ9,ATQ,Amritsar,Limited Liability Parterneship (LLP),Property Loss,In Transit,Furniture
TK0V4C4REX,DEL,Delhi,Sole Proprietorship,Property Damage,Warehouse,Misc. Engineering Tools
KKALOP5IF6,CCU,Kolkata,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Raw Material
HKLZ3KT0QM,ATQ,Amritsar,Limited Liability Parterneship (LLP),Property Loss,In Transit,Furniture
7AHKR34EKE,MAA,Chennai,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
NJ3AQ4OEGK,VSK,Visakhapatnam,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
42DUA7COLT,MAA,Chennai,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
USD8RH0UBQ,HYD,Hyderabad,Private Limited Company,Property Loss,Warehouse,Misc. Electrical Equipment
E6EQ4RPXTU,LKO,Lucknow,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
3ZCIJFTL20,PAT,Patna,One Person Company,Property Loss,In Transit,Misc. Electronic Items
GZDI2N8SYK,DEL,Delhi,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
AXOQAUUNPT,ATQ,Amritsar,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
YRO1ZW2EHT,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
JPOA2ROZX6,ATQ,Amritsar,Private Ltd. MSME - Medium,Property Loss,In Transit,Misc. Electrical Equipment
C8AVN1WN5S,THN,Thane,One Person Company,Property Damage,In Transit,Misc. Electronic Items
OC4N0SAUQM,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
PRFOIL9RA1,MAA,Chennai,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
ZR4U5L3WY9,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
9CAF7OOX6T,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Finished Goods
PVSTMNYSBN,AGR,Agra,One Person Company,Property Damage,In Transit,Misc. Electronic Items
KLOJ67KWSQ,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Furniture
1EXP4JQNXC,DEL,Delhi,Sole Proprietorship,Property Loss,Warehouse,Misc. Electrical Equipment
719MXVA3C1,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Raw Material
OAIMNKRUHJ,IDR,Indore,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
LR9152NKPS,BHO,Bhopal,One Person Company,Property Loss,In Transit,Fixtures
9CBCOS5PUJ,HYD,Hyderabad,Foreign Subsidary,Property Damage,In Transit,Furniture
SRE62HBAVV,IDR,Indore,Foreign Subsidary,Property Loss,In Transit,Misc. Engineering Tools
99E0DEU8AE,BOM,Mumbai,Limited Liability Parterneship (LLP),Property Loss,Warehouse,Misc. Electronic Items
HD89ZSO361,IDR,Indore,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
XO3OIWSJAY,IDR,Indore,Limited Liability Parterneship (LLP),Property Loss,In Transit,Inventory - Finished Goods
0X9V2E9L46,LKO,Lucknow,Private Ltd. MSME - Micro,Property Damage,In Transit,Misc. Electronic Items
HTTH086CWB,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
J79ZJA9I75,LKO,Lucknow,Joint-Venture Company,Property Loss,In Transit,Pumps and Motors
FEKVNR0GV7,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
4G3T2YSJ2G,JAI,Jaipur,One Person Company,Property Damage,In Transit,Misc. Electronic Items
FHXT3MV4YD,BDQ,Vadodara,Public Limited Company,Property Loss,Warehouse,Inventory - Raw Material
P3KWFEW5SY,MAA,Chennai,Non-Profit Organization (NPO),Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
22LYHF7CKB,BHO,Bhopal,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
RVISQXVPVW,HYD,Hyderabad,Foreign Subsidary,Property Damage,Warehouse,Misc. Electronic Items
6AKMQ4Z1WM,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
GXHVM91JKY,LKO,Lucknow,Joint-Venture Company,Property Loss,In Transit,Misc. Electrical Equipment
O1RT9UBXB9,THN,Thane,One Person Company,Property Damage,In Transit,Furniture
XP4S0ZN3ON,STV,Surat,One Person Company,Property Loss,In Transit,Inventory - Raw Material
98RDHJCO21,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
93RAW7A5EG,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
HQSPJNK811,BOM,Mumbai,Private Limited Company,Property Loss,Warehouse,Misc. Sensors
0AGFUGNPWK,DEL,Delhi,Cooperative Society,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
DZVVK07RCW,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
YU7N5XIW0U,PNQ,Pune,Foreign Subsidary,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
RB13K9JDB0,JAI,Jaipur,Limited Liability Parterneship (LLP),Property Damage,In Transit,Misc. Electronic Items
RWJ7WQP3HY,BLR,Bangalore,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
X5KQHQV2TR,IDR,Indore,One Person Company,Property Loss,In Transit,Inventory - Raw Material
KQK9Z6RQ90,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
1LKZMYKXKG,LKO,Lucknow,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Sensors
ZVE38EI7GN,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Sensors
QZCFFZ84EG,STV,Surat,Partnership Firm,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
DAI9DQAXD0,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
QSS730GSLC,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
GDZ9NQMP5W,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Furniture
K7RN7E8HKA,AMD,Ahmedabad,Joint-Venture Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
86Z7TTUC70,HYD,Hyderabad,One Person Company,Property Loss,In Transit,Inventory - Raw Material
EAC14CLY29,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Loss,In Transit,Fixtures
4RYR5M9AYL,BOM,Mumbai,One Person Company,Property Loss,In Transit,Inventory - Raw Material
0HYXZLGI4O,KNU,Kanpur,Sole Proprietorship,Property Loss,Warehouse,Inventory - Raw Material
E2YZZX99Q7,JAI,Jaipur,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
T3W657HKW6,BDQ,Vadodara,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
34AVI66RMW,BDQ,Vadodara,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
6JIZVTVAKR,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
OGWEYSJGVG,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
9U8KTGM7PM,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Furniture
MIF9RZINGS,ATQ,Amritsar,Limited Liability Parterneship (LLP),Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
UQ2TXE6P69,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
J9PTSPV1B8,IDR,Indore,Partnership Firm,Property Damage,In Transit,Misc. Engineering Tools
5DRKXUQ6KR,BOM,Mumbai,Limited Liability Parterneship (LLP),Property Loss,In Transit,Misc. Electrical Equipment
5NB0RVBS2W,NSK,Nashik,Public Limited Company,Property Damage,In Transit,Fixtures
8VUIGXFNZU,PNQ,Pune,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
FAVNGU9S37,STV,Surat,Public Limited Company,Property Loss,Warehouse,Misc. Sensors
16NZWK1KWD,NSK,Nashik,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
7QBI93H9F8,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
MH9DWRRA8L,JAI,Jaipur,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
TI2UHYR1ZL,LKO,Lucknow,Private Ltd. MSME - Medium,Property Damage,Warehouse,Pumps and Motors
6KVPOPN8LA,ATQ,Amritsar,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
PIRLL4DAQS,THN,Thane,Private Ltd. MSME - Medium,Property Loss,In Transit,Misc. Electrical Equipment
TY0EVV2ITJ,PNQ,Pune,Limited Liability Parterneship (LLP),Property Damage,In Transit,Misc. Engineering Tools
4KKQWWYD7G,DEL,Delhi,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
QCH1RH5PWE,BOM,Mumbai,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
055N363MVE,HYD,Hyderabad,Private Limited Company,Property Damage,In Transit,Misc. Electrical Equipment
VI2NWAH4TS,VSK,Visakhapatnam,Private Limited Company,Property Damage,In Transit,Misc. Engineering Tools
XHEXUAZO49,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
ZNZCC72Z1I,KNU,Kanpur,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
UOHAME5D2V,LKO,Lucknow,Partnership Firm,Property Damage,Warehouse,Furniture
82LHI6BSWR,DEL,Delhi,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
82SNV4ECSX,NGP,Nagpur,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
I080LMSCVS,HYD,Hyderabad,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
RIOBQ33T7Q,PNQ,Pune,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
X4TU83RW9Z,AGR,Agra,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
55Z0S4HLRR,AGR,Agra,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
TQP9DEKQOH,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
RR5RT10HBC,AGR,Agra,Partnership Firm,Property Damage,In Transit,Misc. Engineering Tools
I4K2UWWJH8,THN,Thane,One Person Company,Property Loss,Warehouse,Misc. Sensors
SH28KQW8GN,PNQ,Pune,Partnership Firm,Property Damage,Warehouse,Misc. Electrical Equipment
CYEAZ3Q76U,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
BQUFZRD56N,JAI,Jaipur,One Person Company,Property Damage,In Transit,Misc. Electronic Items
XNNDBQ3S3T,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Raw Material
4JHXJRV9F1,BOM,Mumbai,Private Ltd. MSME - Small,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
6LCW91GL74,BHO,Bhopal,Joint-Venture Company,Property Damage,In Transit,"Property, Plant, and Equipment (PPE) Parts"
PVI3KIB5QU,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,"Property, Plant, and Equipment (PPE) Parts"
YXG09DF1R7,PNQ,Pune,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
UIDDLFG0TU,THN,Thane,Private Limited Company,Property Damage,In Transit,Misc. Engineering Tools
ONP9REPTDT,NGP,Nagpur,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
WEDWDYW94F,BHO,Bhopal,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
YBVMDVHCY6,BOM,Mumbai,Private Limited Company,Property Loss,Warehouse,Pumps and Motors
EJC7H1GPDC,HYD,Hyderabad,Public Limited Company,Property Damage,Warehouse,Misc. Electrical Equipment
539HWDYND7,NGP,Nagpur,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
I4L2A4AETF,BLR,Bangalore,One Person Company,Property Damage,In Transit,Misc. Electronic Items
2R25X90K8K,BDQ,Vadodara,Non-Profit Organization (NPO),Property Loss,In Transit,Pumps and Motors
QEUBF25SXP,HYD,Hyderabad,Private Limited Company,Property Damage,Warehouse,Inventory - Raw Material
BEIYU0XSE9,ATQ,Amritsar,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
GG9OJ5WN9D,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
